id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
864290529050408845,Stylish and Spacious 2-Bedroom Plus Office,508953862,Jon,,Dorchester,42.28877,-71.05672,Entire home/apt,162,2,42,2024-09-11,2.53,1,32,23,STR-544911
865064682512161383,Amazing family & group-friendly accommodation,310662379,Ulrich,,Dorchester,42.30792251715304,-71.06957950762751,Entire home/apt,,2,56,2024-09-08,3.25,1,151,35,STR-521194
865211677070580709,"Suite Boston, With Private Bath",31035862,Roger Michael,,Dorchester,42.292908,-71.0629855,Private room,97,1,154,2024-09-16,8.88,3,24,103,STR-482961
865457912919196504,Large Private Room (Lily) in a House,133457702,Selim,,Jamaica Plain,42.32263152894531,-71.10684266497502,Private room,152,29,7,2023-10-23,0.43,10,75,3,STR-552508
865491574396499608,Daisy (Sunny Room) in JP House,133457702,Selim,,Jamaica Plain,42.32426,-71.10649,Private room,,1,13,2024-09-02,0.75,10,0,8,STR-552508
865495431683606764,Private Room (Violet) in a House,133457702,Selim,,Jamaica Plain,42.32406084251169,-71.10620076790872,Private room,115,2,9,2024-08-12,0.58,10,45,5,STR-552508
865503096848277888,Private Room (Iris) in a House,133457702,Selim,,Jamaica Plain,42.322831882394354,-71.10689356332537,Private room,,29,8,2024-07-05,0.46,10,0,3,STR-550313
865785974116979767,Stylish Room in South End + Private Patio,36465884,Gates,,South End,42.34111233139622,-71.07471588434498,Private room,89,30,7,2024-07-27,0.47,1,193,5,
866575005037773478,Cozy Central Fenway Studio,275849638,Steven,,Fenway,42.34081347370269,-71.1012587845715,Entire home/apt,330,1,0,,,71,243,0,STR-519403
866647856795580011,Lovely Brighton Apartment!,77086857,Youcef,,Brighton,42.346290889505525,-71.13905865887527,Entire home/apt,185,91,0,,,1,364,0,
867583816590061099,Boston 1 bedrm/livingrm close T,40995423,Bonnie,,Dorchester,42.32136235398295,-71.05950816707173,Entire home/apt,108,31,1,2023-12-22,0.11,9,363,1,
869100337454650984,Quiet brownstone close to city,15639915,Krisztian,,East Boston,42.3672321,-71.0383392,Entire home/apt,273,1,91,2024-09-11,5.30,1,270,66,STR-523013
869664695063700684,Downtown Boston - Maison Moderne,374049727,Taibou,,Dorchester,42.317710297890656,-71.05689192691577,Private room,58,29,6,2024-08-22,0.38,3,296,3,
870196550944784218,Boston 1 bed/livingrm close to T,40995423,Bonnie,,Dorchester,42.32121927779309,-71.05758894719567,Entire home/apt,109,30,2,2024-05-31,0.15,9,364,1,
870900443792498664,"New 3 bedroom, 2 bath unit, meadow view!",72023864,Simon,,Allston,42.35089607135963,-71.14514019797105,Entire home/apt,550,2,62,2024-08-25,3.84,1,132,40,STR-522682
